index,artist,song,id,uri,href,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hot
0,Morgan Wallen,Last Night,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8,0.459,0.517,0.675,0.0,0.151,-5.382,0.0357,203.853,0.518,1
1,SZA,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,0.0521,0.644,0.735,0.144,0.161,-5.747,0.0391,88.98,0.418,1
2,Miley Cyrus,Flowers,0yLdNVWF3Srea0uzk55zFn,spotify:track:0yLdNVWF3Srea0uzk55zFn,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn,0.0632,0.707,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,0.646,1
3,Eslabon Armado X Peso Pluma,Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb,0.483,0.668,0.758,1.89e-05,0.0837,-5.176,0.0332,147.989,0.834,1
4,Grupo Frontera X Bad Bunny,Un x100to,6pD0ufEQq0xdHSsRbg9LBK,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK,0.228,0.569,0.724,0.0,0.27,-4.076,0.0474,83.118,0.562,1
5,Rema & Selena Gomez,Calm Down,1s7oOCT8vauUh01PbJD6ps,spotify:track:1s7oOCT8vauUh01PbJD6ps,https://open.spotify.com/track/1s7oOCT8vauUh01PbJD6ps,0.429,0.799,0.802,0.00128,0.171,-5.196,0.0371,107.008,0.811,1
6,"Metro Boomin, The Weeknd & 21 Savage",Creepin',2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,0.417,0.715,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,1
7,The Weeknd & Ariana Grande,Die For You,3PgzETYsLdGnGA4dQnpCdy,spotify:track:3PgzETYsLdGnGA4dQnpCdy,https://open.spotify.com/track/3PgzETYsLdGnGA4dQnpCdy,0.977,0.507,0.0611,0.87,0.17,-26.901,0.0665,66.675,0.375,1
8,PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2",4UbgDSQIgLFpwfH3YLCuQX,spotify:track:4UbgDSQIgLFpwfH3YLCuQX,https://open.spotify.com/track/4UbgDSQIgLFpwfH3YLCuQX,0.731,0.726,0.659,2.17e-05,0.261,-6.877,0.1,141.987,0.714,1
9,Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,1
10,Yng Lvcas x Peso Pluma,La Bebe,2UW7JaomAMuX9pZrjVpHAU,spotify:track:2UW7JaomAMuX9pZrjVpHAU,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU,0.213,0.812,0.479,1.21e-06,0.0756,-5.678,0.333,169.922,0.559,1
11,Drake,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,spotify:track:7aRCf5cLOFN1U7kvtChY1G,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G,0.0603,0.817,0.44,1.42e-06,0.33,-8.482,0.0734,142.024,0.544,1
12,Toosii,Favorite Song,1SRw5p2lVAi7RGlHEmZg66,spotify:track:1SRw5p2lVAi7RGlHEmZg66,https://open.spotify.com/track/1SRw5p2lVAi7RGlHEmZg66,0.314,0.816,0.367,0.0,0.0987,-9.354,0.0588,116.035,0.413,1
13,Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT,0.186,0.712,0.603,0.0,0.115,-5.52,0.0262,97.994,0.67,1
14,Miguel,Sure Thing,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV,0.0267,0.684,0.607,0.000307,0.191,-8.127,0.1,81.001,0.498,1
15,Coi Leray,Players,6UN73IYd0hZxLi8wFPMQij,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij,0.03,0.954,0.516,7.54e-06,0.0504,-5.817,0.16,105.001,0.624,1
16,Bailey Zimmerman,Rock And A Hard Place,4686eQ81DEswHa90bcdlC9,spotify:track:4686eQ81DEswHa90bcdlC9,https://open.spotify.com/track/4686eQ81DEswHa90bcdlC9,0.577,0.582,0.568,0.0,0.105,-7.3,0.0275,121.991,0.394,1
17,The Weeknd Featuring Future,Double Fantasy,4VMRsbfZzd3SfQtaJ1Wpwi,spotify:track:4VMRsbfZzd3SfQtaJ1Wpwi,https://open.spotify.com/track/4VMRsbfZzd3SfQtaJ1Wpwi,0.00621,0.6,0.567,8.73e-06,0.495,-7.269,0.033,119.043,0.0951,1
18,Morgan Wallen,You Proof,5W4kiM2cUYBJXKRudNyxjW,spotify:track:5W4kiM2cUYBJXKRudNyxjW,https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW,0.265,0.732,0.839,0.0,0.602,-5.007,0.0345,119.724,0.629,1
19,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,1
20,Post Malone,Chemical,5w40ZYhbBMAlHYNDaVJIUu,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu,0.00136,0.498,0.897,0.0,0.118,-4.907,0.045,169.902,0.373,1
21,Morgan Wallen,One Thing At A Time,7K3BhSpAxZBznislvUMVtn,spotify:track:7K3BhSpAxZBznislvUMVtn,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn,0.467,0.492,0.675,0.0,0.142,-5.456,0.0389,203.759,0.478,1
22,Morgan Wallen,Thinkin' Bout Me,0PAcdVzhPO4gq1Iym9ESnK,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,https://open.spotify.com/track/0PAcdVzhPO4gq1Iym9ESnK,0.492,0.656,0.757,0.0,0.117,-5.775,0.0308,139.971,0.429,1
23,Morgan Wallen,Thought You Should Know,3Qu3Zh4WTKhP9GEXo0aDnb,spotify:track:3Qu3Zh4WTKhP9GEXo0aDnb,https://open.spotify.com/track/3Qu3Zh4WTKhP9GEXo0aDnb,0.506,0.53,0.678,6.23e-06,0.138,-6.16,0.0278,140.05,0.508,1
24,David Guetta & Bebe Rexha,I'm Good (Blue),5jBUesNxaOm5sEI5X60TSL,spotify:track:5jBUesNxaOm5sEI5X60TSL,https://open.spotify.com/track/5jBUesNxaOm5sEI5X60TSL,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,0.304,1
25,Zach Bryan,Something In The Orange,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,0.148,1
26,Kane Brown With Katelyn Brown,Thank God,1brnLTvarI9D1hLP6z2Ar8,spotify:track:1brnLTvarI9D1hLP6z2Ar8,https://open.spotify.com/track/1brnLTvarI9D1hLP6z2Ar8,0.695,0.738,0.455,0.0,0.107,-8.735,0.0352,99.945,0.441,1
27,Peso Pluma,Por Las Noches,2VzCjpKvPB1l1tqLndtAQa,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://open.spotify.com/track/2VzCjpKvPB1l1tqLndtAQa,0.31,0.807,0.595,2.44e-05,0.0735,-7.19,0.0325,92.491,0.392,1
28,Ice Spice & Nicki Minaj,Princess Diana,5Gc3Gp3sTPXIsWSsd6pvw9,spotify:track:5Gc3Gp3sTPXIsWSsd6pvw9,https://open.spotify.com/track/5Gc3Gp3sTPXIsWSsd6pvw9,0.0122,0.76,0.575,0.226,0.241,-10.274,0.0693,139.956,0.202,1
29,RAYE Featuring 070 Shake,Escapism,5mHdCZtVyb4DcJw8799hZp,spotify:track:5mHdCZtVyb4DcJw8799hZp,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp,0.138,0.538,0.742,4.67e-05,0.0934,-5.355,0.114,96.107,0.25,1
30,Chris Brown,Under The Influence,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb,0.0635,0.733,0.69,1.18e-06,0.105,-5.529,0.0427,116.992,0.31,1
31,Tyler Hubbard,Dancin' In The Country,2KtGiBi5CrX2ERPD2PAS34,spotify:track:2KtGiBi5CrX2ERPD2PAS34,https://open.spotify.com/track/2KtGiBi5CrX2ERPD2PAS34,0.0031,0.657,0.871,0.0,0.102,-4.614,0.0675,114.974,0.532,1
