,Unnamed: 0,artist,song,href,track_id,uri,audio_features,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
0,40179,Melaena Cadiz,Needles River,spotify:track:4TCcDD97LU6rBUnYhjGmR8,3DaFh4kJy4Ifo4cLjBjkXG,spotify:track:4TCcDD97LU6rBUnYhjGmR8,"{'danceability': 0.754, 'energy': 0.591, 'key': 9, 'loudness': -6.465, 'mode': 0, 'speechiness': 0.0566, 'acousticness': 0.378, 'instrumentalness': 0, 'liveness': 0.108, 'valence': 0.69, 'tempo': 141.998, 'type': 'audio_features', 'id': '4TCcDD97LU6rBUnYhjGmR8', 'uri': 'spotify:track:4TCcDD97LU6rBUnYhjGmR8', 'track_href': 'https://api.spotify.com/v1/tracks/4TCcDD97LU6rBUnYhjGmR8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4TCcDD97LU6rBUnYhjGmR8', 'duration_ms': 204720, 'time_signature': 4}",0.754,0.591,9.0,-6.465,0.0,0.0566,0.378,0.0,0.108,0.69,141.998,audio_features,4TCcDD97LU6rBUnYhjGmR8,https://api.spotify.com/v1/tracks/4TCcDD97LU6rBUnYhjGmR8,https://api.spotify.com/v1/audio-analysis/4TCcDD97LU6rBUnYhjGmR8,204720.0,4.0
1,43011,johnny_ripper,sleep,,,,,,,,,,,,,,,,,,,,,
2,86830,aaron yabrov,pendulum,spotify:track:7eJqLdEQ96D5Xzc406xkeZ,4Y2glvLjQGOb4dXnwm1hQf,spotify:track:4Y2glvLjQGOb4dXnwm1hQf,"{'danceability': 0.42, 'energy': 0.969, 'key': 1, 'loudness': -3.139, 'mode': 1, 'speechiness': 0.0581, 'acousticness': 2.84e-05, 'instrumentalness': 0.00861, 'liveness': 0.379, 'valence': 0.182, 'tempo': 174.038, 'type': 'audio_features', 'id': '4Y2glvLjQGOb4dXnwm1hQf', 'uri': 'spotify:track:4Y2glvLjQGOb4dXnwm1hQf', 'track_href': 'https://api.spotify.com/v1/tracks/4Y2glvLjQGOb4dXnwm1hQf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Y2glvLjQGOb4dXnwm1hQf', 'duration_ms': 252787, 'time_signature': 4}",0.42,0.969,1.0,-3.139,1.0,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,audio_features,4Y2glvLjQGOb4dXnwm1hQf,https://api.spotify.com/v1/tracks/4Y2glvLjQGOb4dXnwm1hQf,https://api.spotify.com/v1/audio-analysis/4Y2glvLjQGOb4dXnwm1hQf,252787.0,4.0
3,43126,John Hyatt and M4SK 22,Frost on my Window,spotify:track:23EgnmfkdOsDK96ftbVv0Q,23EgnmfkdOsDK96ftbVv0Q,spotify:track:23EgnmfkdOsDK96ftbVv0Q,"{'danceability': 0.446, 'energy': 0.41, 'key': 0, 'loudness': -11.431, 'mode': 1, 'speechiness': 0.0289, 'acousticness': 0.736, 'instrumentalness': 0, 'liveness': 0.122, 'valence': 0.318, 'tempo': 156.274, 'type': 'audio_features', 'id': '23EgnmfkdOsDK96ftbVv0Q', 'uri': 'spotify:track:23EgnmfkdOsDK96ftbVv0Q', 'track_href': 'https://api.spotify.com/v1/tracks/23EgnmfkdOsDK96ftbVv0Q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/23EgnmfkdOsDK96ftbVv0Q', 'duration_ms': 245000, 'time_signature': 4}",0.446,0.41,0.0,-11.431,1.0,0.0289,0.736,0.0,0.122,0.318,156.274,audio_features,23EgnmfkdOsDK96ftbVv0Q,https://api.spotify.com/v1/tracks/23EgnmfkdOsDK96ftbVv0Q,https://api.spotify.com/v1/audio-analysis/23EgnmfkdOsDK96ftbVv0Q,245000.0,4.0
4,69127,LIL and Sin Senal,Uninstall,spotify:track:3pjvkWO9fqiRRBE1tDLu3S,3pjvkWO9fqiRRBE1tDLu3S,spotify:track:3pjvkWO9fqiRRBE1tDLu3S,"{'danceability': 0.822, 'energy': 0.851, 'key': 11, 'loudness': -3.314, 'mode': 0, 'speechiness': 0.0422, 'acousticness': 0.333, 'instrumentalness': 0.00792, 'liveness': 0.105, 'valence': 0.749, 'tempo': 117.992, 'type': 'audio_features', 'id': '3pjvkWO9fqiRRBE1tDLu3S', 'uri': 'spotify:track:3pjvkWO9fqiRRBE1tDLu3S', 'track_href': 'https://api.spotify.com/v1/tracks/3pjvkWO9fqiRRBE1tDLu3S', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3pjvkWO9fqiRRBE1tDLu3S', 'duration_ms': 185085, 'time_signature': 4}",0.822,0.851,11.0,-3.314,0.0,0.0422,0.333,0.00792,0.105,0.749,117.992,audio_features,3pjvkWO9fqiRRBE1tDLu3S,https://api.spotify.com/v1/tracks/3pjvkWO9fqiRRBE1tDLu3S,https://api.spotify.com/v1/audio-analysis/3pjvkWO9fqiRRBE1tDLu3S,185085.0,4.0
5,42776,Loretta Kelley,"Sandsdalsgangaren, telegangar",spotify:track:3mM14WXoPaLRjjkmxHe99L,3mM14WXoPaLRjjkmxHe99L,spotify:track:3mM14WXoPaLRjjkmxHe99L,"{'danceability': 0.604, 'energy': 0.354, 'key': 9, 'loudness': -14.07, 'mode': 1, 'speechiness': 0.0313, 'acousticness': 0.836, 'instrumentalness': 0.00474, 'liveness': 0.103, 'valence': 0.635, 'tempo': 137.349, 'type': 'audio_features', 'id': '3mM14WXoPaLRjjkmxHe99L', 'uri': 'spotify:track:3mM14WXoPaLRjjkmxHe99L', 'track_href': 'https://api.spotify.com/v1/tracks/3mM14WXoPaLRjjkmxHe99L', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3mM14WXoPaLRjjkmxHe99L', 'duration_ms': 180960, 'time_signature': 4}",0.604,0.354,9.0,-14.07,1.0,0.0313,0.836,0.00474,0.103,0.635,137.349,audio_features,3mM14WXoPaLRjjkmxHe99L,https://api.spotify.com/v1/tracks/3mM14WXoPaLRjjkmxHe99L,https://api.spotify.com/v1/audio-analysis/3mM14WXoPaLRjjkmxHe99L,180960.0,4.0
6,102975,Ant The Symbol,In Your Eyes,spotify:track:7ekkXS4zj1yw1Kb9fMqC8v,7ekkXS4zj1yw1Kb9fMqC8v,spotify:track:7ekkXS4zj1yw1Kb9fMqC8v,"{'danceability': 0.712, 'energy': 0.672, 'key': 11, 'loudness': -9.309, 'mode': 1, 'speechiness': 0.0538, 'acousticness': 0.111, 'instrumentalness': 0.883, 'liveness': 0.0864, 'valence': 0.122, 'tempo': 121.989, 'type': 'audio_features', 'id': '7ekkXS4zj1yw1Kb9fMqC8v', 'uri': 'spotify:track:7ekkXS4zj1yw1Kb9fMqC8v', 'track_href': 'https://api.spotify.com/v1/tracks/7ekkXS4zj1yw1Kb9fMqC8v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7ekkXS4zj1yw1Kb9fMqC8v', 'duration_ms': 393449, 'time_signature': 4}",0.712,0.672,11.0,-9.309,1.0,0.0538,0.111,0.883,0.0864,0.122,121.989,audio_features,7ekkXS4zj1yw1Kb9fMqC8v,https://api.spotify.com/v1/tracks/7ekkXS4zj1yw1Kb9fMqC8v,https://api.spotify.com/v1/audio-analysis/7ekkXS4zj1yw1Kb9fMqC8v,393449.0,4.0
7,72475,The Young,Apaches Throat,spotify:track:6RKfmgy3uFnIdSfYCFKUmj,6RKfmgy3uFnIdSfYCFKUmj,spotify:track:6RKfmgy3uFnIdSfYCFKUmj,"{'danceability': 0.355, 'energy': 0.595, 'key': 0, 'loudness': -6.851, 'mode': 1, 'speechiness': 0.0374, 'acousticness': 0.0833, 'instrumentalness': 0.629, 'liveness': 0.128, 'valence': 0.349, 'tempo': 115.911, 'type': 'audio_features', 'id': '6RKfmgy3uFnIdSfYCFKUmj', 'uri': 'spotify:track:6RKfmgy3uFnIdSfYCFKUmj', 'track_href': 'https://api.spotify.com/v1/tracks/6RKfmgy3uFnIdSfYCFKUmj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6RKfmgy3uFnIdSfYCFKUmj', 'duration_ms': 231632, 'time_signature': 4}",0.355,0.595,0.0,-6.851,1.0,0.0374,0.0833,0.629,0.128,0.349,115.911,audio_features,6RKfmgy3uFnIdSfYCFKUmj,https://api.spotify.com/v1/tracks/6RKfmgy3uFnIdSfYCFKUmj,https://api.spotify.com/v1/audio-analysis/6RKfmgy3uFnIdSfYCFKUmj,231632.0,4.0
8,75149,Informant,I Love to Lose It,spotify:track:5dWGBEsKQI5rLxTjI6YQXQ,5dWGBEsKQI5rLxTjI6YQXQ,,,,,,,,,,,,,,,,,,,
9,53090,Secret Birds,Laser Archipelago (Live on New Weird Australia),spotify:track:1rhuGqHnV43rhas87dQdYV,1axqlgB4PhgeMaytSRX5J3,spotify:track:1axqlgB4PhgeMaytSRX5J3,"{'danceability': 0.39, 'energy': 0.997, 'key': 11, 'loudness': -3.869, 'mode': 1, 'speechiness': 0.278, 'acousticness': 8.04e-05, 'instrumentalness': 0.873, 'liveness': 0.208, 'valence': 0.142, 'tempo': 176.859, 'type': 'audio_features', 'id': '1axqlgB4PhgeMaytSRX5J3', 'uri': 'spotify:track:1axqlgB4PhgeMaytSRX5J3', 'track_href': 'https://api.spotify.com/v1/tracks/1axqlgB4PhgeMaytSRX5J3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1axqlgB4PhgeMaytSRX5J3', 'duration_ms': 239612, 'time_signature': 3}",0.39,0.997,11.0,-3.869,1.0,0.278,8.04e-05,0.873,0.208,0.142,176.859,audio_features,1axqlgB4PhgeMaytSRX5J3,https://api.spotify.com/v1/tracks/1axqlgB4PhgeMaytSRX5J3,https://api.spotify.com/v1/audio-analysis/1axqlgB4PhgeMaytSRX5J3,239612.0,3.0
